,letter,year
na_uk_11,dear burgie glad indeed get letter although news regard joe come shock first hear since arrive france spite fact regiment quite close afraid 9th day follow rotten day good many battalion lot much since 8th fairly try time reinforce week time last two hundred tell sorry hear joe say one best hope chap annoy answer welcome letter pride much write good yarn though opportunity also hard find know bit knock neuve chappell quite get best health spirit come across len phillips peter hawes different draft london scottish rouen experience job expect thank mr drewe much make inquiry tell occasionally wish heartily old job quiet life get dick magazine letter expect go astray hospital thank much send game football two week ago r.g.a * battery pitch serious drawback think cabbage patch still manage get good game important weather whole good lately get occasional day rain last night sharp thunderstorm new experience least effect shut disturbance rest grouse much oblige information fellow glad get well peacock seem come top dog job alone example seem pay one leave holiday scotland well must close epistle please remember dick mr horsley ransley drewe fox hop like o.k line censor faithfully e.w bratchell,0
na_uk_12,dear effie pleased receive letter like find correspondence voluminous time especially since take duty platoon sergeant take time one realises first still trench action twenty four day consecutively know long shall keep dirty time yesterday morning dodging damn great bomb blighter present u without exaggeration eighteen inch two foot long make hole ten foot deep fifteen foot diameter least wait see burst see descend air scoot make get far possible round corner iron dirt seem fall minute afterwards disturb dicky gilson u last twenty four day break glass would buy new one go doctor work oracle leave behind transport know whether work ticket properly get safe job far back blame nerve shocking state brood lot know absolutely fatal dirty job like see either frost kemball seem meet anybody fresh always district relieve crowd generally pal french opinion scrap jolly well except isolated instance give undue prominence chap prejudice probably casualty certainly enormous lot week old one form opinion go list allow say thought doings lately cronin still 5th bedfordshires yet think likely probability wish could repeat swim performance penarth ‘ specially wednesday evening one hear rumour leave give shortly rely much offer commission battalion may take paper go satisfactorily kindest regard wish mrs lewis old pal billy,1915
na_uk_13,dear mr hunt many thanks long interesting letter pleased receive sorry unable answer constantly move one place another lately opportunity write letter well pleased say feel fit well quite enjoy life write last attach 4th division station small village live tent station six week week ago transfer another place eighty mile one travel motor lorry supply column take u day till 9 clock evening journey glorious trip scenery fine almost good office outing quite comfortable travel put night small village sleep lorry empty petrol can bed next morning take railhead station yesterday place week still sleep tent fortunate enough meal post office staff rest cook yesterday afternoon go tea send tell pack thing catch train another railhead take charge a.m.f.o * three division usually man attach division rather large order twenty mile go take 5 clock till 9pm get french train rapid attach 51st highland division division williams number lot today shall probably day move another village surprised hear mr pritchard death also hear mr crossley also dead glorious weather present hot time glad hear soft time old section pleased hear collection letter photo troop send round office certainly send photo later take receive yet hear ferdie gray photo take longmoor come group six unfortunately copy send away ferdie gray still base believe arthur smith one railhead somewhere well think tell news present write later send photo kindest regard sincerely m.p pond,1915
na_uk_14,dear bertie line let know get time life doubt see several letter write office past month go detail except say exceedingly fortunate see much india short time shall never forget trip khyber pas since scene hard fighting one consequence hurriedly move fyzabad rawalpindi readiness reinforce would scarcely credit feeling disappointment exist among british regular regiment leave india order france take share war feeling also exist territorials… dragoon leave week ago replace heavy casualty among norfolk regiment gulf hot weather commence latter part april many british troop possible always send hill almost unbearable plain fortunate enough go three day march climb place foot well never wild stretch imagination ever dream soldier himalayan mountain kuldana although foot low himalaya bungalow situate edge steep precipice see lovely view word fail describe perfect mixture devonshire scotch alpine scenery although seemingly mile high snow clad range full view 100 150 mile away 1½ mile trek sergeant mess beautiful scenery lovely wild rise bush climb giant pink tree smother rose maiden hair fern kind pretty flower wood climate perfect lovely english summer weather delightful mountain breeze heat india distress least even long arduous march feel splendidly fit well trust shall continue end gaiety married family yorkshire regiment live barrack charge regiment remain behind pindi bite death almost mosquito cinderella dance three time week whist drive racquet tennis party enjoyable time wish may eileen could take aeroplane trip hour get would rip glad hear call see promised visit month ago home would awfully glad see drop card old boy fancy 10 month ago today since leave go camp lot transpire since 8th middlesex 12 month ago see lose heavily france funny leave join 6th east surrey pass gibraltar first way india whole enjoy life india immensely act company sergeant major expect promote rank shortly ‘ tommies trust fit well remember stacey sincerely beaumont,1915
na_uk_15,dear mr wheeler line let know whereabouts fifth sunday sea leave southampton thursday october 29th shortly midnight convoy ten huge liner 1700 2000 territorial troop board assemble english channel early next morning escort british warship far first port call- malta french warship port say stay one night proceed suez canal lay port suez six day wait another escort red sea aden stay four day wait japanese escort arrive bring immense convoy 80 huge liner transport fill new zealand indian troop addition convoy thirty five vessel come suez whilst lay may truly sing britannia rule waves. delightful interesting voyage weather hot hundred troop compel sleep deck nightly heat much great land two case fever aden fortunately appear spread far expect reach bombay wednesday next december 2nd three four day train journey fyzabad distance north lucknow shall glad get five week board crowd troop ship little opportunity exercise get rather irksome especially get ‘ daily paper little wireless war news occasionally glad say wonderfully fit well food wholesome plentiful trust well best wish happy christmas possible prevail war condition prosperous new year due course also please convey messrs wood welsh davis others hop see termination successful conclusion war believe faithfully h. beaumont also convey respect mr price please,1914
na_uk_16,dear arthur expect wonder write awful effort get correspondence active service time say enjoy awfully hot eat million fly life trench picnic either four five day eight nine suppose rest go work party dig etc. wherever always shell fire much rest last shell camp four kill seventeen wound fire three month like rest strain tremendous one nerve think troop france get quite bad comfort send home country quite barren buy anything shop would give quid pint beer club food consist half loaf bread per day bacon tea breakfast bully beef biscuit dinner jam tea cheese lime juice serve four time per week drop put dixie water cup full serve per man rum serve twice week sometimes four table spoonful live trench mercy rain otherwise wash away fighting lately terrible shell knock enemy way sight trench take awful wear respirator awful smell dead never get sight eye everlasting nightmare spar come home able tell possibly write word fail describe thing nice walmer come see enjoy time also see billy dawson richardson seem lot french troop seem relief u nobody love u churchill go nobody pet army first except work do naval division know brother commission 4th bedfordshires dovercourt wife tell send three box stuff receive one box fear one transport flounder sunk another torpedo expect two box awfully disappointing look forward bit chocolate biscuit home get cigarette baccy serve u hot smoke much miss much get bath biscuit tin trench go time without wash tell use dirty club emmie still well paice go looe year spend holiday lord like holiday tired would give anything get away continual banging please remember fellow leave office mr miller goff hill george williams boy generally write separately also detail experience must wait get back ever sometimes despair paper tell pretty full account although rather anticipate event advance must close old chap thank much kindness wish best sincerely harold watt,1915
na_uk_17,dear bertie many thanks letter fag acceptable imagine buck one hear old associate also letter tinker taylor tell gwen leave great western railway company write ferdi ferdinand ask frosty give address imagine lovely empty old room look fancy flapper eh quite selection say give idea work day day reveille stable 6.30-7.30 breakfast till exercise ride one lead two three horse one half hour groom water feed go dinner till sweep letter damage bed horse 4pm water feed hay 5pm take turn stable like fatty draw rough sketch stable house horse six seven side leave u four horse course sandwich probably visit avonmouth dock fetch horse take station keep week time knock mud fee get shore leg look bit shipshape week come horse mule fair devil wild timid may come see probably saturday get weekend off… fatty,0
na_uk_18,dear ernie thanks much letter kind wish wound get right discover eleven hard able get suppose month soon slip people come see yesterday day ought see face shave scrap shell stick shave week wound look pretty picture well old chap glad wound get hell ever meet chap say want go back call liar could manage come time delight receive letter dalton perhaps get later time old chap look office way home manage get drink well must close expect quite enough trouble read write already hop old pal rip,0
na_uk_19,dear sir france fortnight get quite well army food also good plentiful course find life much rougher use fine experience longmoor camp week equip put elementary drill sleep big hut sack straw three blanket hut one call apple pie mile camp six every morning order march parade camp parade morning hour drill breakfast 11pm think arrive longmoor 31st march consequently go straight hut light provide fish bed dark fortunately moonlight time lantern bring glad get time come next morning six march camp inspect sergeant major wait time go breakfast roast sausage chief item menu amazement knife fork supply us…well thing convey sausage mouth finger near thing knife fork pair nail scissors use personally know whether feel shocked laugh situation end latter audit fellow get one table good laugh could eat much hopeless situation let discourage anyone come warn bring knife fork first day issue kit treasure knife fork come across mail boat hantonia southampton havre sleep hut dock sleeping accommodation well audit fellow able keep together till last saturday night pond send different railhead 3rd corp railhead travel horsebox night time travel manner saturday sunday monday night french shunting severe shake saturday sunday 30 truck monday fortunate enough get every town stop day tuesday night another young fellow strand station somewhere france instruct military authority sleep good shed sleep deck shed shunting go night limit think arrive finally destination midday last wednesday live truck small french station two sapper lieutenant deal chiefly gift comfort send troops… country think railhead seven mile firing line hear gun see star shell night must ask kindly excuse write pencil pen ink would mind let letter treat whole statistical department please sir kind regard obediently arthur smith,1915
na_uk_20,dear mother come particularly nasty period go trench wednesday night sunday morning 5am artillery commence bombard german trench 20 minute elapse go parapet goodness reception hun store u simply sweep ground machine gun fire shrapnel poor old ‘ c coy catch hot neuve chapelle seem fleabite compare find impossible make advance quarter dig awaited event horrible suspense seem man untouched around personally acquaint man make matter bad fact wrong call men mostly mere boy early afternoon hail trench whether possible get back reply affirmative decide run risk get pot way commence crawl stomach yard parapet make spring rush headlong top nearly spoil feature happen trench expect relieve afternoon fellow get nightfall experience another bombardment… billy hastings quite fit pal leave rest since get information illegible report shall soon rest wicked say true must surely bad lot terrible thing lusitania many american aboard imagine trouble receive box letter date 6th thankful everything censored regard pad mask cotton pad serve gas mask serve make ‘ spot consist piece gauze tape steep solution bicarbonate soda prior charge lose belonging except gillette razor glad toilet requisite next send parcel trouble towel perhaps frank would get shave brush must close much love affectionate son dick,1915
na_uk_21,much nearer front move last tuesday long march course do night present billet farm remains one large village ¾ mile trench north nearer belgian frontier awfully desolate spot constantly shell fire morning try get sleep grass shell burst tree fifty yard away send shower leaf ground fortunately one hit another burst field ten minute afterwards think time shift go barn number dugout around cold might get bury inside farm vile place lot stagnant water around lot german soldier bury barn sleep would improve shell strike roof ventilate absence smell inside bad make nearly necessary wear respirator rat seem object company often free fight top u last night first experience trench return billet morning din simply awful lately big gun give enemy ‘ bean every night glad say casualty although rifle fire hear time especially left german make attack indian troop british gun fire simply terrific night german reply much fine watch flash gun back although screaming shell overhead first rather ‘ scar say least however news hear day day part front cheerful encourage yesterday come across indian soldier could speak english well think another month would see war also german officer capture near say could go much long one hope remark prove correct church practically demolish wall tower standing churchyard bad state great hole make bone expose hole water sufficiently deep drown anybody great stone vault open coffin body see course place inhabit except soldier big house plenty good carved furniture picture fitting etc still remain also garden roses come bloom see great number like see home well must close hope keep well thank good wish sincerely s. frost,1915
na_uk_22,dear nic first must thank and… others send kind letter sympathy regard brother sam felt much home great shock parent naturally help kill good cause suppose hear leave bedford early sunday lovely trip old firm keyham well laden glad get aboard get berth comfortable two warrant officer men sergeant troop deck none comfortable jog along alright first part voyage sea quiet pass gibraltar fog night see skirt coast algeria pleasant run malta stop full day high official go ashore hour include good time mention troop ship refrain hell lot next stop alexandria three day another look round include route march battalion sea fairly rough end rather surprising lovely colour light blue day dark night light perfect darkness twilight speak dark wonder eventually reach port say stop day go ashore go dardanelles expect reach tonight kit leave behind egypt get stand pass aegean sea full rocky island much like highland scotland bullen lose helmet side otherwise well… best health present hope go alright expect hear get marry week leave lot u thing quite common occurrence old boat captured german liner full get greek crew portuguese throw mixed lot especially welsh men aboard thing go office away nearly year… shall glad hear keep touch… must close say mail collect land… sincerely george,1915
na_uk_23,dear burgie thanks awfully letter glad hear serene g.w.r still flourish without matter fact expect well without still jove idea audit shove many fellow khaki fine well old brigade pretty varied experience land stink bad beer land havre last march freezing night canvas height behind town rather weird train journey country 10 u per cattle truck wisp straw sleep horse box six truck three head face ‘ engine three face rear train two men sit corn sack bottom keep shutter close beautiful journey warm horses… 2am old caboodle pull think dreary hang however order come bring dixies… fall something hot take one liquid smelt good little judicious wangle manage get another one full taste simply gorgeous boil hot coffee rum frenchman make know gee go treat well many jolt bump arrive destination mile firing line fearful hole nine next morning go still rid 23 mile come anchor rather dirty mining village… three week show shunt get baptism funny sensation fire first time soon wear one get rather nasty jolt first casualty occur especially case fine fellow staff get chunk shell back neck kill spot action place two month take part several bombardment one one poor old joey kill pretty rough time fortunate regard casualty two month action 2½ day rest seem much get different part show occupy germ french take filth stench awful word one battery strike rather unlucky come across germ bury surface start dig gun air blue miles… next action hell show staff put huge chateau observation fire three side half sling lead marvellous get lift skywards heap time still good spell show come rest 10 day ago good time way concert sport box tournament etc latter great especially bout farrier sergeant cook mate biff one another neither could stand awfully funny little seedy elli get snip job base come today draught men time life look dark circle eyes… feel wonderfully fit well would miss come quid suppose saw paper two boy get distinguish conduct medal major lord gorell battery awfully buck well old man must dry hope read disgust scrawl make whiskered excuse ‘ active service condition please remember boy tell long liz would give anything barrel two club bitter sincerely dick james,1915
na_uk_24,dear mr rogers line let know still alive succeed dodge small piece lead frequently fly peninsular dardanelles expect wonder get also con convalescent camp try tell briefly happen since leave egypt leave alexandria 13th august land new landing sulva bay 18th shell fire nice kick first engagement 21st take part big fight hill 70 expect read paper see daily sketch page full speak u irresistable yeomanry glow word charge also stiff go fight 3pm 21st dark 22nd never stop advance retire whole time hill night 21st could hold support send yeomanry u leave retire night charge capture three line turkish trench brigade berkshire buckinghamshire dorset yeomanry order charging division think fairly well general say report course suffer pretty heavy five day peninsular officer leave regiment barely half men see officer casualty list men pleased get grw magazine rest dugout chocolate hill hope audit boy fall since last saw suppose still pretty slack office find run away tale y.m.c.a tent crowded piano go rather difficult write rest big fight three day go trench spell five day one case seven day five week catch dysentery come away put hospital ship brought st. patrick hospital malta five week pretty lucky close bullet one right sleeve graze arm narrow shave shrapnel sandbag dugout knock one day fortunately get water probably inside would catch properly expect fortnight three week go back hop boy across turkish army cut two suppose office still look empty ever mr jackson get france see regiment action often wonder would get trench warfare suppose mcconnel still go strong stop shall lose mail kind regard mr cox men section hope still enjoy best health still dodge bomb hope write soon truly e.j cowles,1915
na_uk_25,dear effie doubtless surprise get postcard know send u long way north alright think london would suit good could see pal sometimes allow get bed yet try night fell fit serf right disobey order piece shell fracture skull shall look souvenir doctor say lucky put right heavy piece british would wound anything less advanced post stick beyond front line call duck bill naturally pretty close german trench fact surround us… line censor hear bedford company tell prepare dardanelles know though hear nothing concert ward afternoon plenty visitor every afternoon fair woman take generally decent treat everybody alike remember kindly mrs lewis shall make determined attempt see get sick leave probable well news present take post department lot would suit headquarters london time count chicken though goodbye old boy regard billy,1915
na_uk_26,dear mr hunt thanks cigarette magazine much appreciate want confess something terribly short cigarette know get peter jackson see short time ago lord wish could get london chap leave advance seem put stop reason sorry long awaited advance god know really time something relieve pressure eastern front part line still sit tight bad luck wish would get move well cost u good many casualty think german bombardment get counter attack deliver must lose many u get interesting souvenir part framework german aeroplane fourth airman recently bring neighbourhood machine gun one plane kill german pilot machine get control explode least engine whole aircraft crash earth god awful mess pilot observer kill former bash recognition latter survive fall die shortly afterwards airman seem master german although taubes seem fast machine men seem much spirit initiative fortnight ago saw fleet fourteen plane cross line raiding expedition close formation german send rain shell without damage raid successful believe two transport train full german reinforcement wreck large station destroyed well let hear soon everybody best regard section sincerely gilbert williams,1915
na_uk_27,dear dada many thanks slough paper magazine sorry see jefferies lose life heard arthur morning tell fred blane die wound dardanelles expect remember windsor operatic society line censor harold white ginger live arthur join royal artillery garrison plymouth arthur sell motorbike petrol expensive say since write last move little village 2½ mile town dead alive hole house two cafe one open window blow expect move still day two change truck much large one make comfortable 30 foot long divide ground sheet curtain one end make bedroom rest truck fit desk cupboard spend even make table bacon box etc present live well indeed bacon kidney breakfast steak vegetable dinner jam honey etc tea bread cheese pickle supper bad active service post office cook still cooking four u staff one attach three division one learn work probably leave soon take charge division plenty aeroplane lately german come evening people shell half hour know whether bring nice long letter mr hunt yesterday send photo roll honour tell late audit office news well think much tell present conclude love affectionately mont,1915
na_uk_28,dear bert many thanks letter receive day ago also good old woodbine get today think letter refer report publish 6th monthly magazine august 15 send copy see well big gruelling could wish hun bombard u trench two hour jack johnson * shell shrapnel whizz bang * terrible thing trench mortar blow parapet blaze nearly blow whole lot u general officer commanding compliment u behaviour rest place call vlamertinghe south ypres couple mile north poperinghe poperinge belgium deserve rest spend thirty-nine day dugout trench except three day needless tell crummy tend spoil rest never think go another phase south africa poperinghe meet jackson week ago beauty stand pal drink also one suppose shall wait increase absentee office anyway add salary soon like shall able pay income tax enclose postcard show card bombardment ypres guess place look like well bert conclusion must tell one sergeant leave post london able give detail kind regard friend audit sincere friend jack symons,1915
na_uk_29,dear mr jones line let know still alive move king lynn wednesday next write later like photo best regard office h. giles,1915
na_uk_30,dear father hope mother worry much get right wound well broken bone trouble- two end take wrong turn first time couple day ago put right road ought leave short leg 40lb weight end fact surprise finish ahead one good thing get little pain except move get postcard answer yet expect letter take long believe ask send fruit thing take long get afraid would bad besides take french money draw £5 field cashier day wound quite well orderly buy fruit town expect surprise get letter say post card allow write hospital fresh order come one letter month allow well write quite enough think long get letter mother seem age since hear take house uxbridge yet wait auntie uncle move hope get little used lonely house please remember everybody give love relation next time write tell like hear would write although able answer letter hear frank get mean write put long expect kit send home afraid field glass lose leave equipment wood hit awfully sorry perhaps one men pick arrive one boot one puttee send pair puttee tie kit shall supply boot leave expect one thing shall glad get book well treat belgian sister convent good often bring u grapes apple get long run money rotten show want war last long far like finger pie good grumbling best thing hope soon soon home please give kind regard kate best love cheer worry love son 2nd lieutenant mayo charlie p.s hope read awkward write lie,1915
na_uk_31,several month ago relieve french trench notice quiet ‘ atmosphere seem quite keep beautiful hilly scenery since british occupation however thing liven considerably find necessary greatly strengthen trench make dugout much deep safe various kind souvenir send enemy late aerial mine doubt read exactly like oil drum look wood end explode terrific report think fire gun come tumble across awkward manner think manufacture article woolwich afford decent shell troubled much german artillery make trench mortar rifle grenade signaller escape hardship trench life especially winter arrive much prefer duty keep one shelter exposure parapet course excite time wire cut trench mortar etc need repair wherever break lately lot experience make fitting fireplace dugout generally use biscuit tin hold fire rummage among old house village nearby piece pip take smoke usually entrance impossible cut hole roof account sheet iron fuel burning generally problem small supply coke allow add kind wood etc sit night surprising good time keep wake next fellow carry fire good fire get quite generous mind allow next man extra hour sleep several day rain week tend improve life trench journey billet last saturday night take road wood construct royal engineer quite finish place ankle deep water march paddle part wood valley purposely flood road lay faggot piece work finish fortunate dry billet bed raise floor small fire sheep skin coat issue u warm fellow imitate monkey hold small cup audience seat bed another chap play accordion need top boot tall rubber wader gum boot design try avoid problem trench foot paddle trench plenty water little drink wash fine place people good find excuse wash good hot water bath good bath unless one really need account colour water well though food clothing good well supply consider many distant place send speak well splendid way navy ‘ bit,1915
na_uk_32,dear arthur really must make effort write let know progress well far little internal trouble keep fairly fit cold weather start present job doctor prepared stick campaign order winter quarter nice place right edge cliff beautiful sea remind much cornwall across island imbros sunlight mountain sometimes marvellous quiet warm day bird singing one wonder war blooming shell soon drive idea away jolly cold though serve nice thick underclothes waterproof top boot except always live ground comfort look far possible food good anyone could want also use lot turn nose long ship land good think shall badly mind blow sea get awfully rough ship come near u sea three side turk fourth truly devil deep sea turk still find ammunition somewhere whether gun warship knock dickens exciting watch battle especially side gun like antwerp one pot sleepy continue firing quiet go sleep continue tomorrow chance finish letter go snow rain thunder lightening lord cold everything frozen even water water bottle today beautifully mild calm almost like summer receive packet letter wife write different time since may still hope may back date knock around world three men kill last night little spasm today gun turk fling dirt use duck upon time shell come everyone seem curious see sort burst much dust knock heap camera take photo enclose bit heather grow great profusion peninsular troop use trench boil dixie office know quite effort remember routine now… suppose mr millow still chance h.r.h goff join say s.c. probably senior clerk singing air bang write drop one u sometimes shell burst work something even know come along funny get use get back office expect heap lady lord see woman since april look like expect scent office careful must swear often laugh thought ever return civil life dig little hole garden live stir tea bit stick finger spit floor smoking little tickling shirt hop street paper write envelope matter lamb go one little little bleat far home like come know rub bed roof also drop beer perchance living hole seven month blue sky get bit monotonous time especially dirt persist fall face try sleep rain knee time always night rum serve tonight know bear stuff pause think wayside drink rum fact hate change time everyone club remember emmie mrs fellow may understand mr welsh mr davy awfully kind wife reckon jolly good war seem find many kind friend know repay live this… become beaumont jackson pal jimmy edward still alive bert like send turkish shell post office accept transit anyhow perhaps bring home nose fuse paper weight know back summer shell drop seat trouser explode kaw bit luck stop pick though case change mind later well try remember everyone give hearty good wish office merry xmas victorious new year trusting safe zeppelin sincerely t. harold watt,1915
