,letter,year
fr002,9th july 1917 gun go afternoon note david never receive letter return bef may david monday 9 july 1917 return marked miss dear david last well front two little self think anyone would want come pour rain beyond station cover wet take waterproof readiness saturday leave catch go time get home mama alright tho watch plane london time saw 17 break away come direct towards could move knee shake remember bert letter break spell rush downstairs cellar shrapnel break glass cannon street station quick….what finger still bad nurse night think ungrateful finger little good well suppose good continue treatment nice think good go sleep eye shut mean…… quite asleep yet alright go writing saturday afternoon lovely washing day gun go afternoon river raider try get back succeed owe workman washing day fortnight men finish yet go another job little way army saturday night lovely sleep sleep till without break lose train maud manage catch arrive 37 catford quick kick floor fault entirely shall put away get first aid miniaturize tuck coat finger still get well – slowly slowly letter 4 th give arrive desperately glad get well dinner maud place upside maud look brighter tho awfully thin white say enjoy mistress last shock dinner wash go 56 tea enjoy much fact think three u talk talk talk maud leave go church leave mrs taylor come herne hill catch home glass wine leave tip nose red know bit cold small rough place tip course might cause mr taylor chesham wednesday till follow monday folk invite mr capel mrs taylor feel highly delight bargain hunt lately hat trim stuff dress mauve go make lovely back broad trimming dress seem realise near danger leave alone good thing sure go enlighten fortunately read paper mrs day two letter dear write train real thing know special pastime imagine grand thing tell see thro rise coloured glass ordinary really anything way like disappointed one fine day mr gayford sent morning ask girl get saturday tell keep quite calm felt proud ask fainted seem surprised say mr gayford come see u say tom turn come extra quickly leave several transfer age get home busy stop long goodbye till tomorrow may p.s get maud insurance fire burglary domestic labour – discuss sunday might get personal accident aircraft p.s tell maud could make promise go away september think obedience stay home week 28 july likely,1917
fr003,9th july 1917 air devil fanny ethel usa balham 9 july 1917 darling ethel glad get letter friday last 18 day come shall send david able answer jacket move tell might able write several day worry well play football doubt know reach another visit air devil yes close home damage do try time well go spend weekend france bruming chesham go wednesday return monday morning polly nelly baby come back say auntie uncle worry much minnie see year come heed doctor tell cure although another specialist know many make since move sorry think would bad do dr constable order go morning weather come rest keep air take medicine never go outside door could help go alone go often find plenty auntie look well still go hospital light massage rest well cousin charles back plymouth see hear well heard morning damage bad way pleased say auntie bessie quite old self letter sure give love kiss dear child sophia nerve bad raid nerve good since operation otherwise alf well dear child sleep good winter come trouble long well seem run lovely sea country good nellie good baby girl walk alone yet talk little well polly likewise hope get help hop enjoy love love mama potato 2d per lb,1917
fr004,7th july 1917 may home september david may july 7th 1917 get letter 3rd come duty 2 a.m. morning almost two letter one day crawl bunk stick candle behind head go two three time describe holiday september well may able get home – expect ought go time think shall go shall – guess know answer last least know great part glad go miss willsher want good time wish could finish go beckenham goodbye david,1917
fr005,6th july 1917 fighting may david friday 6 july 1917 dear david room lie favourite position word war office postpone visit somerset house heard maud last night evidently shock thought picnic moreover old datchelor girl kate foale book room fortnight 25 july watchet somerset go winchester 10 day sept would like go gore near worthing p.c mrs taylor morning ask bring maud next sunday early possible good soul go see paper fighting wish glad dulwich fill dulwich take lap get first aid think go practice chief scrutiny quite bad army colonel also letter farm northampton lady take anyone august relation well maud go somerset find letter morning say shall get letter perhaps 10 day speck imagine send one day speck get train read arm bsuy must stop turn lovely day think sunday morning go cemetery maud trowel basket pot charm shall get till dinner time immediately maud say letter pleased move 15 th think feel consequential helen child come yesterday tea leave noisy make change mama think glad go say try persuade mama go away auntie succeed auntie get everyone nerve talk imaginary complaint always martyr occasional martyrdom nothing compare yesterday one temporary girl call mr rogers like hubby post army edinburgh go edinburgh branch pass a.1 come mother home ask go back edinburgh say say mr rogers go away look happy come back look even happier. think go embrace beam away say happier helper happy husband pleased idea delighted think perhaps must something like course nearly good go across shall mind much leave something live strange say health much good ever go making me. girl bank england clerk marry finish say extra happiness 4 month bye think ought read please consider censor face globe busy day look know want write get ½ chance go without sleep rest account blue canary fit nothing goodbye may,1917
fr006,6th july 1917 leave come slowly david may july 6th 1917 dear get sunday monday letter combine read letter intend read sorry another girl away old thing department tom gayford probably get leave sooner leave come slowly ever much slowly want think shall like always still get gradually nearer description painter awfully funny picture maud stand brother make pay fill amazement awe sorry write much goodbye david,1917
fr007,5th july 1917 bert may david office 5 july 1917 dear david first opportunity write go ern morning take deed box want someone see forget drop river something else sort sit opposite first class compt watch smooth journey write sure could read perhaps would tame though guess prefer puzzle get make deed box deposit strong room basement day mama leave house least tell write war office look bart pay book see fill form hear book let know tomorrow also write thing hounslow record office r.w.k. far reply case hear time tomorrow want give mama journey nothing morning call somerset house ask necessary could postpone visit administration letter till friday week fortnight tell reason write war office receive reply yet man say come like speak courteously think bear perhaps smile either time last occasion nice letter mrs. taylor morning ask weekend reply sleep mama well stay night would see time sunday tell maud time last night knit almost finish pair sock corporal write say want yet write shall pass get rid make quite long leg perhaps want might one men laugh letter yesterday nothing yet saw lutt morning transfer one super marine dept old broad st. approve come yesterday give lutt bit mind say go risk transfer another girl suppose well get another say know girl want think maud ready till 2 month time. say must someone speak friend ready come. think would good thing maud go marine indemnity may,1917
fr008,5th july 1917 russians david may july 5 th 1917 dear get letter sunday journey somerset house poor little girl awful time sorry hear mrs muggridge still slowly recover look worry much watch mr muggridge time know sleep seem get sleep ill go like hear russian get haul prisoner splendid one fellow idea morning say ally push front alternatively german would begin take troop one front alternatively last would come go quickly would army stick half way two know way turn would give u chance still brain army wish could take worry business hand goodbye david,1917
fr009,4th july 1917 sugar scarce fanny david mother ethel david sister usa balham 4 july 1917 darling ethel expect enjoy lovely sunshine dear child anyone help seaside work child many want yet hope enjoyable time grand weather last week real seaside sort make think old time monday finish kent house go west order another cake send david hope get sunday hear monday still place well get plenty potato 3 per lb good fruit dear fruit without sugar much sugar scarce ½ lb time get manage alright hear tommy archer improve wife go glasgow see week ago walter writer unfit active service well glen hoy yesterday return home draper dressmaker hear fly devil visit city e n. hear gun say practice common morning 11-12 mary stanley doctor come rain say sound like bomb say practice common well think tell go see mattie mattie get well pack come away leave mattie say lovely baby beautiful present send wear apparel ask mary give nothing mary come holdons sale tomorrow early something want hope well love love mama,1917
fr010,4th july 1917 expect letter david may july 4 th 1917 find possibility get post 2 minute scribble do anything excite last two day yesterday parade morning night march today do anything particular write tomorrow possible expect letter may able write letter yet may get tonight goodbye david,1917
fr011,3rd july 1917 train london may david tuesday 3 july 1917 dear david sorry help want call store day week possible next week sale get 7 lb sugar time impossible get serve next week 2 old codger compt nose bury paper doubt interest baby week lie full length get dulwich make comfy tell get tunnel hug extra much go thro frighten see baby help want kiss half sentence rather hindrance writing suppose well give way think yr letter deliciously cheeky tunnel hold tightly frighten bunkum want slapping colonel enjoy yr letter silly bump humour dulwich quick gently kick eye come 2 girl sit side thank goodness make invisible cheek stop hear know would could must peace quietness time weather turn glorious uncle write ethel morning fortunately mama hear letter come show mention glad mama little well upset know say never go get good bad time ring people yesterday letter come late today herne hill lot folk wait platform good get make small sit lap one get perhaps thin compt spooky wish others also get one get lie full length squeeze hard shall call folk think know care worry life know night last almost gouge eye turn side one waver touch face close right eye acquire one ern large handkerchief fit head fasten back 3 waver mama think put cocoanut oil hair want grease sheet let think go hot today good get arm sit properly incorrigible would sergeant say general general ask holiday well ought home last week week really busy office shorthanded perhaps might get leave would like get time po thought would martyr go work rate shall fortnight sept. must put away bye scrunch much last night fault good send miss wiltshire much write tell say go together deserve treat good soul appreciate could make miss word yesterday possibly refer livestock nothing time write lunch time write maud want 37 whole day next sunday ask come picnic shirley hill instead picnic sunday say also suggest go 56 tea unasked write miss willsher tell say go together goodbe may,1917
fr012,2nd july 1917 play rugby david may july 2nd 1917 yesterday number officer start play ruby football outside course join quite good fun although bit strenuous know side net result far personally concerned skin – take one shin sprained finger awful game rugby dinner go night operation night ops rather failure two platoon mine one take position two platoon send patrol find u attack u get take position make ready catch many possible wait wait wait nothing happen except time capture two men third wait 2 hour discover two platoon lose rather never find u pack go back bed get morning physical jerk play game sergeant major murphy play special request men afternoon training chase enemy across country attack chasing alright get strong place although attack would hopeless get reality wipe long get night ops tonight enjoy david july 2 nd 1917 dear letter today rather expect although look one try sock right enough room allow shrinkage go last night small bonfire anything marine business entirely separate glad get girl back get bad say anything holiday go may able get letter next week perhaps 10 day get one get worry course shall write shall get alright goodbye david,1917
fr013,1st july 1917 pm old daft painter may david penge station sunday 1 july 1917 dear david like blooming ejjut stick envelope discover 12 min spare never mind must go tomorrow must tell painter do yet 5 old daft spend day get one another awfully slow independent day fete lot well dress lady go road kelsey park spite threatening sky distant thunder occasional rain drop bedeck daintiest muslin man ladder paint bedroom window another ladder paint ethel mama diningroom hear old fool say seem lot female afternoon come from. munition factory close tho rightly know exactly where. ah. look grey look bad rather like look flounce yes do. female question important look matron lovely pale grey dress 3 flounce quite creation must hear remark unless stone deaf men speak loudly slowly train goodbye awile give kiss quick must go end platform present hide wait room hungry give bite nose tender spose must go garden eat worm monday train 5 female good – behave yes know extremely hard catch yesterday reach maud lor look thin worn seem excite see say time write tell do doubt would hear time write find room abberville rd 3 room bathroom house own widow downstairs rent week expect move friday fortnight nurse leaf tomorrow maud feel lonely nurse brick saw funeral etc tell maud money matter take room brother john want buy furniture leave maud rubbish pay £6.10/- cash already try borrow maud flare refuse dr tell maud ought go seaside 6 week price exorbitant say afford suggest go farm month wind fortnight sept sea like idea address place northampton take pay guest write today john send furniture wednesday maud go sleep next door buy new bedstead hat rack bookcase lot clothes discover love spending letter 26 th wait office coast dodge much trace see coast clear day grow rich horse donkey chaise another case mumps one hopefuls bad luck letter come mg ought last friday stand chance get 3 today best miss day two look see tom gayford come home yesterday 10 day leave fair believe go must write govt take £19-19-0 shall buy grand budget letter afternoon must puzzle miss word sound tho belgium colonel must grin yr letter write war office ask look bert paybook let u without probate letter administration awfully busy goodbye may,1917
fr014,1st july 1917 geranium cemetery may david wait room beckenham sunday 1 july 1917 dear david first opportunity write cemetery 5 min wait thursday catch train something go wrong work stop wrong line loughboro porter call change herne hill change nearly everyone else station master main platform say breakdown penge tunnel may hour train get thro could walk good go back loop line platform take next train ravensbourne slow finally turn nunhead however another train come along reach home 1 hour late mama course worry drizzle rain hold umbrella right get wet course cross get cheek day day fete local paper say princess patricia make people understand popular go say arrive late stay short time announce want affair quiet possible fuss train empty compt boy bring magic dust gently smash breath body kent house get stand window scowl late come 3 youth flannel picnic basket full length mind right ache far get yes thursday night mama sleep wink friday give brandy start somerset house catch fast victoria twice somerset house almost break could speak wait one room almost faint climax last man saw tell four u would share equally thought mama would collapse time promptly tell man mama everything care 2d law go brother wish nothing like temper overcome hysteria quietly work mama temper law man really decent sort rather young gumption see upset ill mama say think sister good surety mother need trouble three come next friday keep wait then. wait 1 ½ hour one room name call fancy next friday ethel manage everything tho man warn easy job catch home give mama brandy port mixed evening ern get 6 bottle champagne friday afternoon mama bit hysterical say must make will leave anything could go thro cemetery ethel go work saturday ask bring home form go leave everything ethel write note attach say express wish leave go benefit mama life time ethel spend dividend ethel leave everything nominally similar note ethel say guess money spend port champagne like mama would never buy herself. course get marry null void friday even mama brighten considerably sleep little night saturday seem alright busy day want go cemetery windy come today plant geranium ten come lot needlework yesterday lace lovely mama sleep morning would sleep long last night lobster wake seem well morning go maud afternoon stop longer lose train goodbye may band play lovely rye,1917
fr015,1st july 1917 rain rain david may july 1st 1917 yesterday do sort thing blow blow rain rain practically day little spend afternoon even trace map get finished take away time night operation last night still rain cancel morning go church service hold hall concert evening since nothing except afternoon men go bath night operation put twice come tonight lose one best men bad army get men together want sort work together suddenly one go hospital something one man day put knee whilst bayonet fighting england probably see want man work road tunnelling company guard prisoner war pray general soul equally unimportant thing least interested thing therefore perfectly certain important must take men must take best men case sorry lose man go job give money know want father die know send great part money mother rather glad get job must go goodbye david july 1 st 1917 dear get two letter 27 th 28 th evidently get tuesday alright sock come usual splendid put yet look alright way day ago ask would loike short leg summer like make leg pretty long comfortable like good wake 6 morning church parade get 8 even keep put put simply drag away know perfectly capable write sensible manner dare… .. goodbye david go write,1917
fr016,30th june 1917 death duties david may june 30th 1917 yesterday morning drill get gas mask quickly inspect go training another attack german position course whole platoon kill many time get least tell attack man pair field glass blue flag difficult imagine blue flag simply pour bullet machine gun everybody imagine something different two people idea alike one certain particular idea correct one always sort affair tremendous argument nobody ever convert opinion still firmly convince scheme right afternoon go bath remarkably lucky men bathe practically every day besides good bath camp plenty hot water evening battalion concert first portion programme bad similar last second half do five officer dress pierrot costume consist pyjama small black piece fluff stuck except get girl usual short dress never saw funny girl get weird wonderful headdress pad bit stuffing slip greatly add charm appearance sing various thing include one two skit thing battalion take number officer make small rhyme characteristic finally wind comic sketch call chu chin chow china time get wonderful costume steel helmet make quite good chinese hat fool good deal finally chu chin chow whose costume consist bathing suit red black ring sort red overall stab girl fell dead word do war dance body minute get join today orderly officer usual round inspection do much way work morning rain pretty hard except gas drill inspection kit equipment go afternoon night operation evening dave june 30 th 1917 dear get letter 26 th way say wed yet tuesday letter think perhaps though make mistake day date correct least mind miss scenery etc etc course shall exactly pitch floor without due notice get back write way – call hit fellow help awful martyr regard bert affair think liable death duty kill goodbye david,1917
fr017,29th june 1917 read brigstock david may june 29th 1917 dear letter today expect one wonder delay time letter miss willsher give time exact account money spend seem change leave want know shall think might get ticket concert something sort two go spend way like best 19/- 0 yes also say think never tease torment happen ill extraordinary change come also letter read brigstock course worry thing seem mixed thing make seem buy 10 share june 6th tell perhaps letter go astray receive letter ask buy share anything 40/- mistake order another 10 buy 25th ask enclose letter 27th stop goodbye david,1917
fr018,28th june 1917 letter write david may june 28th 1917 letter write time awful thing perhaps look way reduce fine art ordinary person write letter unless one order pair boot cap without much thought consideration yesterday innocence heart apparently mention thing oughter consequence letter return scratch offending word instead letter missing word puzzle make sense use imagination fill scratching think fit till write first thing come head must think sentence three time stick do find tell military secret mention censor course like others read tear whole thing start awful strain wonder go grey 5 morning go shooting rain fairly hard seem though would continue get range turn tail come back believe afternoon instead night operation sort tonight yesterday go bath afterwards go ride much success though uncomfortable horse learned one one always carry map read finger post see near road home turn back think take shy every mortal thing june 28th 1917 dear nice letter 25th today especially first part train journey reason good thing tall wish could write like seem doubt whether mrs. anstey allow bury whether suddenly wake last minute come back kind patient maud sock come yet parcel today perhaps come tomorrow go get something remember buy malayalam rubber share time ago exact april 30th end may ask read brigstock 5 lothbury buy 10 send cheque £19 acknowledge cheque may 29th say buy price since write twice ask buy hear nothing since also see share quote 38/- wish would ring find probably order small worry head narrative hold may able send tomorrow goodbye david,1917
