keys,letter,year
fr002,9th july gun note receive : return bef monday 9 july return marked 10/7/17 8.46 self anyone pour rain beyond station cover wet waterproof readiness 12.30 catch 12.44 1.15. tho watch plane london saw 17 break direct towards move knee shake remember bert break spell rush downstairs cellar shrapnel break glass cannon street station quick….what finger nurse ungrateful finger suppose continue treatment sleep eye shut mean asleep writing washing gun river raider succeed owe workman washing fortnight job army sleep sleep till 8.45 without break lose manage catch 12.28 arrive 37 1.10. catford quick kick floor fault entirely aid miniaturize tuck coat finger slowly slowly 1.30 4 arrive desperately dinner upside brighter tho thin white mistress shock dinner wash 56 tea fact three 6.15 church 7.50 herne hill catch 8.43 glass wine tip nose red bit cold rough tip cause chesham wednesday till follow monday folk invite capel highly delight bargain hunt lately hat trim stuff dress mauve broad trimming dress realise near danger alone sure enlighten fortunately paper 4.30 real special pastime imagine grand thro rise coloured glass ordinary disappointed fine gayford sent calm felt proud fainted surprised gayford 12.45 tom extra quickly transfer age till tomorrow p.s insurance fire burglary domestic labour discuss personal accident aircraft p.s promise september obedience 28 july likely,1917
fr003,9th july air devil fanny usa balham 9 july darling friday 18 able answer jacket move able worry play football doubt reach visit air devil yes close damage spend weekend france bruming chesham wednesday return monday polly nelly baby auntie uncle worry minnie heed doctor cure although specialist many since move sorry dr constable order weather rest air medicine outside door help alone often plenty auntie hospital light massage rest cousin charles plymouth heard damage pleased auntie bessie self sure love kiss child sophia nerve raid nerve since operation otherwise alf child sleep winter trouble run sea country nellie baby alone polly likewise help hop love love potato 2d per lb,1917
fr004,7th july september july 7th 3rd duty a.m. almost crawl bunk stick candle behind head three describe holiday september able ought guess answer least great part willsher,1917
fr005,6th july fighting friday 6 july 8.30 lie favourite position word postpone visit somerset heard evidently shock thought picnic moreover datchelor kate foale fortnight 25 july watchet somerset winchester 10 sept gore near worthing p.c bring early possible soul paper fighting dulwich 11.0 fill dulwich lap aid practice chief scrutiny army colonel farm northampton lady anyone august relation somerset perhaps 10 speck imagine speck arm bsuy 1.30 cemetery trowel basket pot charm till dinner immediately 56. pleased move 15 consequential helen child tea 7.5. noisy change persuade auntie succeed auntie everyone nerve imaginary complaint always martyr occasional martyrdom compare temporary rogers hubby army edinburgh edinburgh branch pass a.1 mother edinburgh rogers happy happier. embrace beam happier helper happy husband pleased delighted perhaps something nearly across mind something live strange health ever making me. bank england clerk marry extra happiness 4 month bye ought consider censor face globe 5.30 ½ chance without sleep rest account blue canary fit,1917
fr006,6th july slowly july 6th monday combine intend sorry department tom gayford probably sooner slowly ever slowly always gradually nearer description painter funny picture stand brother fill amazement awe sorry,1917
fr007,5th july bert 5 july 1.30 opportunity ern deed box someone forget drop river something else sit opposite class compt watch smooth journey sure perhaps tame guess prefer puzzle deed box deposit strong basement least bart fill form tomorrow hounslow record r.w.k. reply case tomorrow journey somerset necessary postpone visit administration till friday fortnight reason receive reply speak courteously bear perhaps smile either occasion mrs. weekend reply sleep knit almost pair sock corporal pass rid leg perhaps laugh 4.30 saw lutt transfer super marine dept broad st. approve lutt bit mind risk transfer suppose ready till month time. someone speak friend ready come. marine indemnity,1917
fr008,5th july russians july 5 journey somerset poor awful sorry muggridge slowly recover worry watch muggridge sleep sleep ill russian haul prisoner splendid fellow ally push alternatively german begin troop alternatively quickly army stick half chance brain army worry business hand,1917
fr009,4th july sugar scarce fanny mother sister usa balham 4 july darling sunshine child anyone help seaside child many enjoyable grand weather real seaside monday kent west order cake monday plenty potato 1/2d per lb fruit fruit without sugar sugar scarce ½ lb manage tommy archer improve wife glasgow ago walter writer unfit active service glen hoy return draper dressmaker fly devil visit city e n. gun practice common 11-12 mary stanley doctor rain sound bomb practice common mattie mattie pack mattie baby beautiful present wear apparel mary mary holdons sale tomorrow early something love love,1917
fr010,4th july july 4 possibility minute scribble excite parade particular tomorrow possible able tonight,1917
fr011,3rd july london tuesday july sorry 8.30 help store possible sale 7 lb sugar impossible serve codger compt nose bury paper doubt interest baby lie full length dulwich comfy tunnel hug extra thro frighten baby help kiss half sentence hindrance writing suppose yr deliciously cheeky tunnel hold tightly frighten bunkum slapping colonel yr silly bump humour dulwich quick gently kick eye sit side thank goodness invisible cheek peace quietness weather glorious uncle fortunately show mention upset ring late herne hill lot folk wait platform sit lap perhaps thin compt spooky others lie full length squeeze hard folk care worry life almost gouge eye side waver touch face close right eye acquire ern large handkerchief fit head fasten waver cocoanut oil hair grease sheet hot arm sit properly incorrigible sergeant general general holiday ought shorthanded perhaps po thought martyr rate fortnight sept. bye scrunch fault wiltshire together deserve treat soul appreciate word possibly refer livestock 4.30 lunch 37 whole picnic shirley hill instead picnic suggest 56 tea unasked 1.30. willsher together goodbe,1917
fr012,2nd july play rugby july 2nd number play ruby football outside join fun although bit strenuous side net result personally concerned skin shin sprained finger awful game rugby dinner operation ops failure platoon mine position platoon patrol attack position ready catch many possible wait wait wait happen except capture third wait hour discover platoon lose pack 1.30. physical jerk play game sergeant major murphy play special request training chase enemy across country attack chasing strong although attack hopeless reality wipe ops tonight july nd although sock right enough allow shrinkage bonfire marine business entirely separate holiday able perhaps 10 worry,1917
fr013,"1st july pm daft painter penge station 1 july 1.10pm blooming ejjut stick envelope discover 12 min spare mind tomorrow painter 5 daft spend slow independent fete lot dress lady road kelsey park spite threatening sky distant thunder occasional rain drop bedeck daintiest muslin ladder paint bedroom window ladder paint diningroom fool : lot female from. munition factory close tho rightly exactly where. ah. grey flounce yes do. female question important matron pale grey dress flounce creation remark unless stone deaf speak loudly slowly awile kiss quick end platform present hide wait hungry bite nose tender spose garden eat worm monday 8.30 5 female behave yes extremely hard catch 3.19 reach 4.0. lor thin worn excite doubt abberville rd bathroom own widow downstairs rent 10/6 move friday fortnight nurse leaf tomorrow lonely nurse brick saw funeral money matter brother john buy furniture rubbish £6.10/- cash already borrow flare refuse dr ought seaside 6 price exorbitant afford suggest farm month wind fortnight sept sea address northampton guest john furniture wednesday sleep door buy new bedstead hat rack bookcase lot clothes discover love spending 11.0 26 wait coast dodge trace coast clear grow rich horse donkey chaise case mumps hopefuls luck mg : ought friday stand chance best tom gayford 10 fair believe govt £19-19-0 buy 4.30 grand budget 27,28 29. puzzle word sound tho belgium colonel grin yr bert paybook without probate administration",1917
fr014,1st july geranium cemetery wait 10.0 1 july opportunity cemetery 5 min wait thursday catch 6.0 something wrong wrong line loughboro porter change herne hill change nearly everyone else station master main platform breakdown penge tunnel hour thro loop line platform ravensbourne slow finally nunhead however along reach 1 hour late worry drizzle rain hold umbrella right wet cross cheek fete local paper princess patricia understand popular arrive late short announce affair quiet possible fuss empty compt boy bring magic dust gently smash breath body kent stand window scowl late youth flannel picnic basket full length mind right ache yes thursday sleep wink friday brandy somerset catch 9.30 fast victoria twice somerset almost break speak wait almost faint climax saw four share equally thought collapse promptly everything care 2d law brother temper overcome hysteria quietly temper law decent young gumption upset ill sister surety mother need trouble three 12.15 friday wait then. wait 1 ½ hour name fancy friday manage everything tho warn easy job catch 12.23 brandy port mixed ern 6 bottle champagne friday bit hysterical will thro cemetery bring form everything note attach express benefit life spend dividend everything nominally similar note guess money spend port champagne buy herself. marry null void friday brighten considerably sleep cemetery windy plant geranium ten lot needlework lace sleep 3.0 sleep lobster wake longer lose band play rye,1917
fr015,1st july rain rain july 1st blow blow rain rain practically spend trace map finished operation rain cancel church service hold hall concert since except bath operation twice tonight lose best army together together suddenly hospital something knee whilst bayonet fighting england probably road tunnelling company guard prisoner pray general soul equally unimportant least interested therefore perfectly certain important best case sorry lose job money father die great part money mother job july 1 st 27 28 evidently tuesday sock usual splendid ago loike short leg summer leg pretty comfortable wake 6 church parade 8 simply drag perfectly capable sensible manner dare ..,1917
fr016,30th death duties 30th drill gas mask quickly inspect training attack german position whole platoon kill many least attack pair field glass blue flag difficult imagine blue flag simply pour bullet machine gun everybody imagine something different alike certain particular correct always affair tremendous argument nobody ever convert opinion firmly convince scheme right bath remarkably lucky bathe practically every besides bath camp plenty hot water battalion concert portion programme similar second half five dress pierrot costume consist pyjama black piece fluff stuck except usual short dress saw funny weird wonderful headdress pad bit stuffing slip greatly add charm appearance sing various include skit battalion number rhyme characteristic finally wind comic sketch chu chin chow china wonderful costume steel helmet chinese hat fool deal finally chu chin chow whose costume consist bathing suit red black ring red overall stab fell dead word dance body minute join orderly usual inspection rain pretty hard except gas drill inspection kit equipment operation dave 30 26 wed tuesday perhaps mistake date correct least mind scenery exactly pitch floor without due notice hit fellow help awful martyr regard bert affair : liable death duty kill,1917
fr017,29th brigstock 29th wonder delay willsher exact account money spend change ticket concert something spend best 19/- 0 yes tease torment happen ill extraordinary change brigstock worry mixed buy 10 share 6th perhaps astray receive buy share 40/- mistake order 10 buy 25th enclose 27th,1917
fr018,28th 28th awful perhaps reduce fine art ordinary person unless order pair boot cap without thought consideration innocence heart apparently mention oughter consequence return scratch offending word instead missing word puzzle sense use imagination fill scratching fit till head sentence three stick military secret mention censor others tear whole awful strain wonder grey 5 shooting rain fairly hard continue range tail believe instead operation tonight bath afterwards ride success uncomfortable horse learned always carry map finger near road shy every mortal 28th 25th especially part journey reason tall doubt whether mrs. anstey allow bury whether suddenly wake minute kind patient sock perhaps tomorrow something remember buy malayalam rubber share ago exact april 30th end brigstock 5 lothbury buy 10 38/6 cheque £19 acknowledge cheque 29th buy price since twice buy 40/- since share quote 38/- ring probably order worry head narrative hold able tomorrow,1917
fr019,27th fashionable hotel 27th billet hut hut stretch imagination fashionable hotel heart london divide mine 6 foot 8. furnish costly luxurious style furniture consist table cover piece brown paper doyley word cane chair stand reclines three leg sit wall fourth handsome charm set bookshelf ration box shelf dozen nail drive beautiful pattern carpet floor smoothly censor crack wall everywhere else mean confine floor partition decorate sundry pair breech coat haversack towel valise stretch centre floor fall moment shooting somebody else range instead physical drill platoon play various relay race half platoon half pair pull sergeant major murphy game drill preface command sergeant major murphy __ upon act command command without stand catch number fall remain fun thoroughly bayonet fighting practice fire control 27 dearest obedient obedience ingrained help carry instruction offer heartfelt congratulation later 23 rd holiday thank buy receipt matter dividend balham open london county bank account trouble sock allow belgian method wash thank thoroughly tonight,1917
fr020,26th colonel play polo 26th bathe cold water fairly warm wind somewhat chilly afterwards mcdowell ride ride beach gallop mcdowell horse nervous water previous bet ride horse relief mind least quietly mcdowell bit jump around anywhere straight finally right ride difficulty fly along suddenly across stream run right across second horse pull short luckily beautifully bit across colonel play polo horse kindly game borrow mcdowell position attack platoon afterwards reverse order attack usual case side bath everyone thoroughly 26 dearest mail consequence thirst somebody blood however later besides early,1917
fr021,25th tremendous imagination 25th battle murder sudden death word distance great pretty tire loose dusty sand ankle deep pretty hard road consist strip pave cobble stretch loose sand either side choice cobble mean comfortable sand case frequently road traffic point carry attack platoon across country strong position bristle machine gun german represent sit top mound note advance kill german capture machine gun generally wipe whole face earth sure kill tremendous imagination case side always win remember dilapidated heart-broken forlorn appearance seaford remind scattered forlorn 25 dearest servant wednesday least probably journey many addition forget suddenly realize ¾ hour breakfast parade awful nuisance spoil dream new holiday 4.30 22 nd arrive holiday along censor stick sign outside russian style writing funny whole full instead blank censor p madam reply enquiry 20 inst beg state marry fact ogre merely act inducement obediently always dh tayl,1917
fr022,24th cast platoon 24th cast platoon desert island settle billet platoon job mean entirely platoon cooking fact entirely self contain live empty part half mile apart settle half platoon sergeant necessary arrangement afraid upset sergeant corporal belonging evidently share particular sergeant always hang slight encouragement become bosom friend constantly arm length therefore upset everything elsewhere job glorious cold woolly waistcoat valise cook tea 12 clock extra tea ration cook always mysterious fashion able produce extra tea rifle inspection whole lot litter mess previous clear bath water shallow whilst stand edge something hen duckling visit various colonel amongst others spell duty end return normal state later thanks copy cpl yeoman confirm right others wrong 24 dearest begin imagine matter fact able however manage card able regularly without worry hop whole bunch later thurs 21 st wednesday wonder sorry number journey real side,1917
fr023,22nd farmhouse billet 22nd clock breakfast route sun hot happen sun rain descend flood umbrellas wet lately billet farmhouse french farm beat ever saw filth ever clear fact collect farm building usually build square courtyard centre pool hollow refuse throw allow rot imagine state smell add usually within foot heap filth died typhoid ago agree somehow farm number tiny duckling evidently hatch hen fuss around arid simply notice finger nose pond follow stand edge happen present wonderful affair something large rustic basket leg shallow basket thin branch tree weave together whole prop thicker stump originally mattress top large sack fill straw remove probably spend quieter without simply valise comfortable rain practically difference except somewhat desolate dismal country winter 22 nd dearest temper swear future possibly censor colonel apparently trust censor allow censor liable 18 19 whisper everything else holiday 16 need badly understand lace possibly later,1917
fr024,21st chance card 21 chance censor delay,1917
fr025,19th 2017 censor 19th printing map regular printing map thousand question saddle horse saddle horse life however manage saddle right whether right part horse strap mount horse immediately saddle slip horse tummy pull girth tight rapid consumption whilst dinner pull strap saddle slip finally mcdowell hang side whilst climb ride village pave cobble horse slip slide every step throw run afterwards spend whole range bake hot coat somewhat bayonet fight competition none although fairly near top page enclose 19 censor colonel perfectly word reduce field card couple able enclose economise every possible direction remind exchequer bond sale £25 county bank lie idle buy mind £20 1919 exchequer bond enclose cheque £20 p cross cheque p.o,1917
fr026,18th saint procession 18th procession certainly gorgeous affair road sometime due erect temporary altar outside village side road three step lead table candle burn flower clock procession along inside saw window four dress white gilt crown bridal veil whole lot number child white wonderful costume red white blue child white four white carry figure virgin shoulder child four carry figure shoulder banner follow fat priest wonderful cloth gold dress golden canopy hold four white follow number black behind number village bring rear whole ammunition wagon hurry wonder village produce show manage money enough provide costume church bell bang interval hour suppose stand deal rest boxing competition late watch box taste instead mcdowell ride ride town close perhaps large village top steep conical hill top saw flat country beyond slight mist world sea mcdowell half hour eventually staff arrive dinner dinner sit beside gorgeous red tab blue tab mess something horse able saddle tie tree garden staff engineer civil life surveyor job prepare map show german trench saw map print corporal,1917
fr027,17th sister support usa sister ginger linn usa 17 ginger buzzard cake birthday fine thank indeed lot paper unable writing move deal sleeveless jacket trouble troop serve woollen cardigan army leather waistcoat pretty provide however always sock always wear sometimes fresh pair 4 together change pretty frequently sometimes chance wash doubtful couple month whether different matter reach fortnight afraid short,1917
fr028,17th general church 17th lazy whole lot church church middle field particular general general church sometimes ordinary tommy addition fit gas helmet everything gas lung suppose german gas helmet acme comfort elastic band fit tight chin head rubber tube stuff teeth wire clip nose member spanish inquisition bath saints believe wonderful procession describe 17 dearest 13 14 blessed german air raid roof hurt wake wonder life worth live particular humpy humpy raid london wonder safe yes check date sometimes irregularly sorry 5 manor rd usually careful check address case astray worry image action matter fact reserve mile show near short tease ill hug hard chance bonus deserve enough buy daughter son,1917
fr029,16th horse 16th rid mcdowell orderly billet mount guard village horse lead horse prevent question colonel pass c company mess hill captain c company rush yelled sandy horse cant manage hang something raw recruit punch something particular yell shoulder horse pull steam least fact person moment however transport line hand mcdowell horse side road lane horse soft ground lose intend wide circle across tractor pull heavy gun horse bit trouble manage past finally late dinner 4.30 6 clock 12 mile wood rest lunch indeed fall company platoon excuse boot repair 4 size big inspection gas helmet late able whether remain later 9.30. bit short knock couple mile fall others others manage along however drop carry yard 16 rest wood whenever hayes ever tremendously hot full kit help cool beyond fact pretty wet perspiration felt great deal later cold bath supper lie sit yes p.s mail enclose cut punch illustrate,1917
fr030,15th cold bath 15th play rounder play no.6 platoon beat point game general general field tent field use kit pack outside meal many piece paper lie half pot jam tuck tent fearful crime food carefully cover fly quake company orderly hour everything point clear battalion something fellow ride rider pick number country nearly rid near railway cultivated ride across country unless track run across farm impossible gallop road different horse allow whole thoroughly areodrome watch areoplanes number swarm bee usual run breakfast cold bath canvas tea cup believe wet breakfast spend rest musketry country hide hedge occasionally fire blank shot pick fire afterwards colonel along criticism mixed argument always inspection colonel something wrong somewhere practice bayonet fight competition 15 dearest 12 yes birthday kiss kiss hug ever nicely slightly caress darling extra help temporary lot teach new sound notice chief raise salary suppose doings parade,1917
fr031,14th corporal happen 14th receive enclose copy others bert thank least doubt cp yeoman account correct hebblethwaite captain charge bert platoon information secondhand obviously private l/corporal sit side side practically probably others help almost dictate obviously saw hebblethwaite likely show afterwards corporal hand wit definite everything moreover responsible happen section account naturally whether bert bury affair various section scatter wide impossible platoon commander touch whole lot corporal happen individual .. run mile rifle range remainder corporal tomorrow 14 dearest 9 10 poor horrible comfort near present quiet quiet blank without,1917
fr032,13th campbell duty 13th alter collect middle todays tomorrow usual bright cheery 5 clock-in-the-morning mood break song mood wherefore breakfast afterwards subject great many rude unseemly remark others moreover rude threaten sing prophet without honour etc. parade 6.30 run mile breakfast bayonet fighting jump trench stick german twist knee hospital musketry fire order end lunch rounder cricket move mess lady move sleep discover afraid lady others consider somebody else ought break departure discussion decide campbell speak french captain company bounden duty decide drag battalion billet forcibly whether escape alive,1917
fr033,12th top brigade 12th present billet school anyhow dormitory lead window roof beautifully soft feather investigate somewhat afraid stir none clean whole matter thank lucky star however enough warm water bath canvas bath request practice bath something balance oneself teacup coffee live lap luxury lady mess quiet deal upon mortal enemy scowl every mortally afraid powerful stream language dread upset case helpless completely mercy easy musketry practicing fire order colonel platoon question brigade shoot competition finally top brigade ago bottom brigade mine big attack fairly shake ground account prisoner german afraid particular case withdraw number gun order infantry fact artillery observe line usual reason capture comparatively gun reason prisoner already wipe gun trench smash exist whilst practically intact play rounder platoon rhodesians aiways rival platoon always equal thoroughly least dinner play cricket wicket consist petrol tin bat piece wood nail together tennis ball play grass 9 inch high play suddenly big voice bawl billet regimental sergeant major notice tattoo 9.15 billet however saw calm explain fault everything stroll lane across field fine yellow iris grow edge pond grow wild name 10 near name ordinary event ought 7 8 12 8 thank birthday spend future birthdays together holiday laugh liverpool evidently tire pass somebody else trouble sorry infectious neighbourhood deal lace pillow buy length narrow coarse except collar arrangement perhaps able use piece something register whether duty fancy 10 whole .but suppose count,1917
